kata
bego
goblok
idiot
geblek
gila
sinting
tolol
sarap
udik
kampungan
kamseupay
buta
budek
bolot
jelek
setan
iblis
jahanam
dajjal
sompret
keparat
ngewe
bejad
gembel
brengsek
tai
kontol
memek
ngentot
jembut
anjing
babi
monyet
kunyuk
bajingan
asu
bangsat
kampret
bokep
